"screen_name","text","stripped_text1"
"JohnFiliss","This article is a great example of how to lose a culture war. Spread it far and wide.

https://t.co/ilw0FL5ttW","this article is a great example of how to lose a culture war spread it far and wide"
"clevjustice","I thought the Ex-Prez was the sole creator of the vaccine with his ""operation warp speed?"" How are they joining with the anti-vaxxers? It makes no sense since they are less than a quarter of the population. How is that building your base? https://t.co/sXmIw4xDdc","i thought the exprez was the sole creator of the vaccine with his operation warp speed how are they joining with the antivaxxers it makes no sense since they are less than a quarter of the population how is that building your base "
"haulinpipe","@AndreaHorwath The vaccine is free so why not start with that??? But no, we will make testing free for all the anti vaxx morons."," the vaccine is free so why not start with that but no we will make testing free for all the anti vaxx morons"
"DubLoony","@AndyMOBrien @rplobrien What he's doing now is using anti-vaccine stance as a wedge to break Romania out of EU. A hate monger who shouldn't be listened to but handy to keep a tabs on.","  what he doing now is using antivaccine stance as a wedge to break romania out of eu a hate monger who shouldnt be listened to but handy to keep a tabs on"
"the_brainbolt","Because every anti-vaccine asshole needs a more famous back-up anti-vaxx asshole. https://t.co/F7HCrRhcKj","because every antivaccine asshole needs a more famous backup antivaxx asshole "
"SteveMiller_75","@the_deep_thou @FreckledLiberty You think a healthy lifestyle is more protection then the vaccine and you called it experimental. 

For the slow people in the audience that is anti-vaccine completely with ignorant misinformation.

Your last sentence shows what a hippocrit you are after arguing with me all day.","  you think a healthy lifestyle is more protection then the vaccine and you called it experimental for the slow people in the audience that is antivaccine completely with ignorant misinformationyour last sentence shows what a hippocrit you are after arguing with me all day"
"HoopKidz","Netsâ€™ Kyrie Irving doesnâ€™t trust the COVID-19 vaccine due to his own medical history, report says https://t.co/rJnTgRcLPF","netsâ€™ kyrie irving doesnâ€™t trust the covid vaccine due to his own medical history report says "
"IceCavern6","@ChristofPierson @JesseZurawell ""Anti-vaxxers"" isn't the same as ""Anti-this-vaccine."" But you either know this already and are being disingenuous or just stupid. I would hedge my bets on both.","  antivaxxers isnt the same as antithisvaccine but you either know this already and are being disingenuous or just stupid i would hedge my bets on both"
"IceCavern6","@vision_faded @JesseZurawell ""Anti-vaxxers"" isn't the same as ""Anti-this-vaccine."" But you either know this already and are being disingenuous or just stupid. I would hedge my bets on both.","  antivaxxers isnt the same as antithisvaccine but you either know this already and are being disingenuous or just stupid i would hedge my bets on both"
"3392ba0e4403422","@MrPatMineo You are only looking for something bad for Iowa. It was wrong on both sides. You wear anti Iowa glasses and everyone knows it. Itâ€™s like politics or the vaccine debateâ€¦you find something you side with and thatâ€™s all you see. You are a joke, man."," you are only looking for something bad for iowa it was wrong on both sides you wear anti iowa glasses and everyone knows it itâ€™s like politics or the vaccine debateâ€you find something you side with and thatâ€™s all you see you are a joke man"
"BarryCPearson","Australia is likely soon to join the expanding list of countries that are offering anti-COVID vaccines to under-12s.

UK is a bit behind, but may authorise it during 2021.

""TGA provisionally approves Pfizer COVID-19 vaccine for 5 to 11-year-olds""
https://t.co/LgaDxtDJq4","australia is likely soon to join the expanding list of countries that are offering anticovid vaccines to undersuk is a bit behind but may authorise it during tga provisionally approves pfizer covid vaccine for  to yearolds"
"BarryCPearson","@Beck_Sall Vaccines pose only a very tiny risk.
Except in anti-vaccine delusions!

Some idiots think VAERS &amp; Yellow Cards are lists of vaccine deaths!<U+0001F923><U+0001F923>

More than 8 billion doses of anti-COVID vaccine have been injected worldwide.
Those billions of people are not dropping like flies!"," vaccines pose only a very tiny riskexcept in antivaccine delusionssome idiots think vaers  yellow cards are lists of vaccine deathsufufmore than  billion doses of anticovid vaccine have been injected worldwidethose billions of people are not dropping like flies"
